Region (Bhf);Techn. Platz (Bhf);Bezeichnung (Bhf);Bezeichn. TP (EQ);Equipment (EQ);Bezeichnung (EQ);Postleitzahl (EQ);Ort (Bhf);Standort EQ;Hersteller (EQ);Baujahr (EQ);Klassenbezeichnung;ANTRIEBSART;ANZAHL_HALTESTELLEN;ANZAHL_TUEREN_KABINE;ANZAHL_TUEREN_SCHACHT;FOERDERGESCHWINDIGKEIT;FOERDERHOEHE;LAGE;TRAGKRAFT;ERWEITERTE_ORTSANGABE;MIN_TUERBREITE;KABINENTIEFE;KABINENBREITE;KABINENHOEHE;AUSFTEXTLICHEBESCHREIBUNG;TUERHOHE;FABRIKNUMMER;TUERART;GEOKOORDINATERECHTSWERTNEU;GEOKOORDINATEHOCHWERTNEU;NAMEGEMAESSWEGELEITSYSTEM;VERKEHRENDEVERKEHRSMITTEL
;;;Heidelberg-Pfaffengrund/Wieblingen;10502212;HD-Wiblingen Aufzug Bahnsteig 3;69123;Heidelberg-Wieblingen;; ;2019;Personenaufzüge;SEIL;;;;;;;;;;;;;;;;;;;;
;02639;Heidenheim;Bahnsteig 01;10495410;PAufzug_Heidenheim_Bstg.1;89518;Heidenheim;; ;2015;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;3,71;;1400,0;;1000,0;;;;zu Gleis 1;;;;10,1563;48,680377;;
;;;Bahnsteig 02;10495411;PAufzug_Heidenheim_Bstg.2;89518;Heidenheim;; ;2015;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;3,71;;1400,0;;1000,0;;;;zu Gleis 2/3;;;;10,1565;48,680475;;
;02648;Heilbronn Hbf;Bahnsteig B 2/3;10462917;PAufzug_HA0106_Bstg.2/3;74072;Heilbronn;;OTIS GmbH & Co. OHG;2000;Personenaufzüge;SEIL;2,0;;;;;;;;;;;;zu Gleis 2/3;;;;9,2078396;49,1430494;;
;;;Bahnsteig C 4/5;10462919;PAufzug_HA0107_Bstg.4/5;74072;Heilbronn;;OTIS GmbH & Co. OHG;2000;Personenaufzüge;SEIL;2,0;;;;;;;;;;;;zu Gleis 4/5;;;;9,207734;49,1431749;;
;;;Bahnsteig D 6/7;10462921;PAufzug_HA0108_Bstg.6/7;74072;Heilbronn;;OTIS GmbH & Co. OHG;2000;Personenaufzüge;SEIL;2,0;;;;;;;;;;;;zu Gleis 6/7;;;;9,2076373;49,1433103;;
;;;Empfangshalle - Erdgeschoss;10188735;PAufzug_HA0100_EG;74072;Heilbronn;;Becker & Reinhart;2000;Personenaufzüge;HYDRAULISCH;3,0;3,0;;0,6;;;630,0;;;;;;von EG zu Tunnel;;;;9,2079164;49,142861;;
;;;Unterführung;10462916;PAufzug_HA0105_Bstg.1/Halle;74072;Heilbronn;;OTIS GmbH & Co. OHG;2000;Personenaufzüge;SEIL;2,0;;;;;;;;;;;;zu Gleis 1/Halle;;;;9,2079164;49,142861;;
;02726;Herrenberg;Bahnsteig 02, Gleise 2+3;10029785;PAufzug_HA0196_Bstg.2, Gl.2/3;71083;Herrenberg;BSTG. 2 GL. 2/3;OTIS GmbH & Co. OHG;2008;Personenaufzüge;SEIL;2,0;;2,0;0,66;5,0;NEBEN;630,0;;;;;;zu Gleis 2/3;;47KAJ029;;8,8625145;48,5939172;;
;;;Bahnsteig 03, Gleis 4;10029786;PAufzug_HA0197_Bstg.3, Gl.4;71083;Herrenberg;BSTG. 3 GL. 4;OTIS GmbH & Co. OHG;2008;Personenaufzüge;HYDRAULISCH;2,0;2,0;2,0;0,6;5,0;NEBEN;630,0;;;;;;zu Gleis 4;;47KAJ030;;8,8624116;48,5940481;;
;02782;Hinterzarten;Hinterzarten, Bahnsteig 1;10501619;Hinterzarten Aufzug zum Bstg 1;79856;Hinterzarten;; ;2019;Personenaufzüge;SEIL;;;;;;;;;;;;;;;;;;;;
;;;Hinterzarten, Bahnsteig 2;10501620;Hinterzarten Aufzug zum Bstg 2;79856;Hinterzarten;; ;2019;Personenaufzüge;SEIL;;;;;;;;;;;;;;;;;;;;
;02791;Hirschhorn (Neckar);Bahnsteig 01;10265067;PAufzug_Thyssen 23 13 22 096_Bstg.1;69434;Hirschhorn (Neckar);BAHNSTEIG 1;Thyssen Krupp;2003;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;;AUßEN;1050,0;BAHNSTEIG 1;;;;;zu Gleis 1;;231322096;;8,8961173;49,4423019;;
;02814;Hockenheim;Bahnsteig 1;10501553;PA_Bstg.1_Schindler_10996510;68766;Hockenheim;BAHNSTEIG 1; ;2017;Personenaufzüge;SEIL;2,0;2,0;2,0;;;;;ZU GLEIS 1;;;;;zu Gleis 1;;10996510;;8,5373678;49,3174014;;
;;;Bahnsteig 2/3;10501554;PA_Bstg.2/3_Schindler_10996511;68766;Hockenheim;BAHNSTEIG 2/3;Schindler;2017;Personenaufzüge;SEIL;2,0;2,0;2,0;;5,4;;1050,0;VON GLEIS 2/3;;;;;zu Gleis 2/3;;10996511;;8,5373678;49,3174014;;
;02906;Horb;Bahnsteig B - Gleis 2/3;10123095;PAufzug_HA0121_Bstg. B;72160;Horb;HA 0121;Haushahn GmbH & Co. KG;2000;Personenaufzüge;INDIREKT HYDRAULISCH;2,0;2,0;2,0;0,63;4,145000000000001;UNTERF. / BSTG. GL. 2+3;800,0;;;;;;zu Gleis 2/3;;;;8,6889624;48,4415525;;
;;;Bahnsteig C - Gleis 5a, 5b / 6;10123096;PAufzug_HA0122_Bstg. C;72160;Horb;PERSONENAUFZUG HA 0122;Haushahn GmbH & Co. KG;2000;Personenaufzüge;HYDRAULISCH;2,0;2,0;2,0;0,63;3,73;UNTERF. / BSTG. GL. 4+5;800,0;;;;;;zu Gleis 5/6;;;;8,6890252;48,4413281;;
;;;Erdgeschoss / WARTEHALLE;10123094;PAufzug_HA0120_Erg;72160;Horb;HA 0120;Haushahn GmbH & Co. KG;2000;Personenaufzüge;INDIREKT HYDRAULISCH;2,0;2,0;2,0;0,63;3,87;UNTERF. / WARTEHALLE;800,0;;;;;;zu Gleis 1;;;;8,6888993;48,4417593;;
;03022;Filderstadt;S-Bahnsteig 01;10167821;PAufzug_HA0367_Bstg.1;70794;Filderstadt;BAHNSTEIG;OTIS GmbH & Co. OHG;2001;Personenaufzüge;HYDRAULISCH;3,0;3,0;3,0;0,63;9,630000000000001;BAHNSTEIG;1150,0;;;;;;zu Gleis 1/2 (S-Bahn);;47NP2034;;9,2182974;48,6764913;;
;03107;Karlsruhe Hbf;Bahnsteig B -- Gleis 1/2;10454144;PAufzug_HA0033_Bstg. 1/2;76137;Karlsruhe;HA 0033 PERSONENAUFZUG;OTIS GmbH & Co. OHG;2010;Personenaufzüge;SEIL;2,0;2,0;0,0;1,0;4,62;;1070,0;;;;;;zu Gleis 1/2 Abschnitt E/F;;47KAM406;;8,4006988;48,9936899;;
;;;Bahnsteig C -- Gleis 3/4;10454145;PAufzug_HA0031_Bstg. 3/4;76137;Karlsruhe;HA 0031 PERSONENAUFZUG;OTIS GmbH & Co. OHG;2010;Personenaufzüge;SEIL;2,0;2,0;0,0;1,0;4,58;;1070,0;;;;;;zu Gleis 3/4 Abschnitt E/F;;47KAM407;;8,4008048;48,9935124;;
;;;Bahnsteig D -- Gleis 5/6;10545308;PAufzug_Bstg. 5/6;76137;Karlsruhe;;Schindler GmbH;2016;Personenaufzüge;SEIL;2,0;2,0;;;4,517;;1400,0;;;;;;zu Gleis 5/6 Abschnitt D/E;;10910797;;8,4009104;48,9933335;;
;;;Bahnsteig E -- Gleis 7/8;10196746;PAufzug_HA0027_Bstg. 7/8;76137;Karlsruhe;HA 0027  GL.7/8  WEST-BSTG;OTIS GmbH & Co. OHG;1998;Personenaufzüge;HYDRAULISCH;2,0;1,0;2,0;;;;1800,0;;;;;;zu Gleis 7/8 Abschnitt D/E;;;;8,4010115;48,9931486;;
;;;;10545309;PAufzug_Bstg. 7/8;76137;Karlsruhe;;Schindler GmbH;2016;Personenaufzüge;SEIL;2,0;2,0;;;4,517;;1400,0;;;;;;zu Gleis 7/8 Abschnitt D/E;;10910778;;8,4010115;48,9931486;;
;;;Bahnsteig F -- Gleis 9/10;10545310;PAufzug_Bstg. 9/10;76137;Karlsruhe;;Schindler GmbH;2017;Personenaufzüge;SEIL;2,0;2,0;;;4,517;;1400,0;;;;;;zu Gleis 9/10 Abschnitt D/E;;10910784;;8,4011145;48,9929709;;
;;;Bahnsteig G -- Gleis 11/12;10463057;PAufzug_Bstg. 11/12;76137;Karlsruhe;;OTIS GmbH & Co. OHG;2011;Personenaufzüge;SEIL;2,0;;;1,0;4,61;;1050,0;;;;;;zu Gleis 11/12 Abschnitt D/E;;47KAM014;;8,4011804;48,9927793;;
;;;Bahnsteig H -- Gleis 13/14;10463058;PAufzug_Bstg. 13/14;76137;Karlsruhe;;OTIS GmbH & Co. OHG;2012;Personenaufzüge;SEIL;2,0;;;;;;1050,0;;;;;;zu Gleis 13/14;;47KAM015;;8,4012642;48,9926369;;
;;;Hausbahnsteig / Zugang Gl. 101-104;10463060;PAufzug_ _Bstg. 101;76137;Karlsruhe;;OTIS GmbH & Co. OHG;2012;Personenaufzüge;SEIL;2,0;;;;;;;;;;;;zu Gleis 101;;47KAM013;;8,4006089;48,9938141;;
;;;Lichthof Ost;10196866;LAufzug_HA0005_Lichthof Ost;76137;Karlsruhe;HA 0005; ;2000;Personenaufzüge;HYDRAULISCH;2,0;;2,0;0,4;;;;;;;;;;;47KK5288;;;;;
;;;Shop 0.4 - Supermarkt - MiB Rubenbauer;10196702;LAufzug_HA0037_Rubenbauer Markthalle;76137;Karlsruhe;HA 0037  RUBENBAUER MARKTHALLE;Keine Angabe;2000;Personenaufzüge;HYDRAULISCH;2,0;;2,0;0,4;;;;;;;;;;;47KK5287;;;;;
;;;Shop 0.8 - Backshop - Wiener Feinbäcker;10305349;P-/LAufzug_HA0036_Wiener Feinbäcker;76137;Karlsruhe;HA 0036  WIENER FEINBÄCKER; ;2000;Personenaufzüge;HYDRAULISCH;2,0;;2,0;0,4;;;;;;;;;;;47KK5286;;;;;
;03109;Karlsruhe-Durlach;Bahnsteig A -- Gleis 1;10286561;PAufzug_Bstg.1;76227;Karlsruhe;HA 0026;ThyssenKrupp Aufzüge GmbH;2004;Personenaufzüge;SEIL;2,0;1,0;2,0;1,0;3,79;;1050,0;;;;;;zu Gleis 1;;231723109;;8,4629476;49,0020318;;
;;;Bahnsteig B -- Gleis 2/5;10286562;PAufzug_Bstg. 2/5;76227;Karlsruhe;HA 0030;ThyssenKrupp Aufzüge GmbH;2000;Personenaufzüge;SEIL;2,0;1,0;2,0;1,0;3,79;;1050,0;;;;;;zu Gleis 2/5;;231733110;;8,4627475;49,0022006;;
;;;Bahnsteig C -- Gleis 6/9;10286563;PAufzug_Bstg. 6/9;76227;Karlsruhe;HA 0046;ThyssenKrupp Aufzüge GmbH;2000;Personenaufzüge;SEIL;2,0;1,0;2,0;1,0;3,79;;1050,0;;;;;;zu Gleis 6/9;;231733111;;8,4626205;49,0023405;;
;03110;Karlsruhe-Hagsfeld;Bahnsteig A -- Gleis 1 -- Ri Karlsruhe;10496152;PAufzug_Bstg. A Gl.1_HAGSFELD WEST MITTE;76139;Karlsruhe - Hagsfeld;HAGSFELD_BSTG. A GL.1;Schindler GmbH;2015;Personenaufzüge;SEIL;2,0;2,0;;1,0;4,206;;1050,0;;900,0;;;;zu Gleis 1;2100,0;;;8,4536183;49,0263337;;
;;;Bahnsteig B -- Gleis 2 -- Ri Mannheim;10496153;PAufzug_Bstg. B Gl. 2_HAGSFELD OST;76139;Karlsruhe - Hagsfeld;HAGSFELD_PAUFZUG_BSTG.B GL_2;Schindler GmbH;2015;Personenaufzüge;SEIL;2,0;2,0;;1,0;4,206;;1050,0;;900,0;;;;zu Gleis 2;2100,0;;;8,453846;49,0263069;;
;03148;Kehl;Kehl, Bahnsteig 1 (Gleis 1);10265303;PAufzug_Kehl_Bstg. A;77694;Kehl;BAHNSTEIG A;Kone;2004;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;5,07;;1000,0;;;;;;zu Gleis 1/5;;;;7,806418061;48,57642183;;
;;;Kehl, Bahnsteig  2 (Gleis 3/4);10265305;PAufzug_Kehl_Bstg. 3/4;77694;Kehl;BAHNSTEIG B;Kone;2004;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;5,07;;1000,0;;;;;;zu Gleis 3/4;;;;7,806314085;48,57660964;;
;03183;Kirchberg (Murr);Bahnsteig 01;10468409;PAufzug_HA0370_Bstg.1;71737;Kirchberg an der Murr;;Thyssen Krupp;2012;Personenaufzüge;SEIL;2,0;1,0;2,0;;5,0;;;;;;;;zu Gleis 1;;287211060;;9,3289098;48,9392383;;
;;;Bahnsteig 02;10468410;PAufzug_HA0371_Bstg.2;71737;Kirchberg an der Murr;;Thyssen Krupp;2012;Personenaufzüge;SEIL;2,0;;2,0;;5,0;;;;;;;;zu Gleis 2;;287211061;;9,3288629;48,9390913;;
;03190;Kirchentellinsfurt;Bahnsteig 1;10313515;PAufzug_KONE_Bstg.1, W&I Gemeinde;72138;Kirchentellinsfurt;AUFZUG BSTG.1 (W&I GEMEINDE);Kone;2003;Personenaufzüge;HYDRAULISCH;2,0;;;;;;;;;;;;zu Gleis 1;;;;9,1386268;48,529436;;
;;;Bahnsteig 2;10313571;PAufzug_KONE_Bstg.2, W&I Gemeinde;72138;Kirchentellinsfurt;AUFZUG BSTG.2 (W&I GEMEINDE);Kone GmbH;2003;Personenaufzüge;HYDRAULISCH;2,0;;;;;;;;;;;;zu Gleis 2;;;;9,1384357;48,5294016;;
;03206;Kirchzarten;Kirchzarten, Bahnsteig 1;10501615;Kirchzarten Aufzug zum Bstg 1;79199;Kirchzarten;; ;2019;Personenaufzüge;SEIL;;;;;;;;;;;;;;;;;;;;
;;;Kirchzarten, Bahnsteig 2;10501616;Kirchzarten Aufzug zum Bstg 2;79199;Kirchzarten;; ;2019;Personenaufzüge;SEIL;;;;;;;;;;;;;;;;;;;;
;03377;Korntal;Bahnsteig 01;10036154;HA 1088 Personenaufzug (HA 309);70825;Korntal;BAHNSTEIG 2 / BRÜCKE;Auperle;1997;Personenaufzüge;HYDRAULISCH;2,0;;2,0;0,65;7,3;BAHNSTEIG 2;800,0;;;;;;;;;;;;;
;;;Bahnsteig 02;10458509;PAufzug_HA0309_Bstg.2;70825;Korntal;BAHNSTEIG 2;ThyssenKrupp Aufzüge GmbH;2011;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;6,378;;675,0;;;;;;zu Gleis 2/3;;287010137;;9,1215822;48,8264648;;
;03379;Kornwestheim Pbf;Bahnsteig 02;10463780;PAufzug_HA0202_Bstg.2;70806;Kornwestheim;BAHNSTEIG 2;Thyssen Krupp;2011;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,253;;675,0;;;;;;zu Gleis 3;;287010133;;9,1797452;48,8620785;;
;;;Bahnsteig 03;10463779;PAufzug_HA0203_Bstg.3;70806;Kornwestheim;BSTG.3 FABR.NR.287010133;Thyssen Krupp;2012;Personenaufzüge;SEIL;2,0;2,0;;1,0;4,253;;675,0;;;;;;zu Gleis 4/5;;287010132;;9,1799819;48,862051;;
;;;Personentunnel;10463781;PAufzug_HA0201_Westaufgang;70806;Kornwestheim;WESTAUFGANG FABR.NR.287010134;Thyssen Krupp;2000;Personenaufzüge;SEIL;2,0;2,0;;1,0;3,765;;675,0;;;;;;von EG zu Tunnel;;287010134;;9,1794552;48,8622274;;
;03490;Ladenburg;Bahnsteig 01;10501047;PA_Bstg.1_Schindler_10956060;68526;Ladenburg;BAHNSTEIG 1;Schindler;2017;Personenaufzüge;SEIL;2,0;2,0;2,0;;4,582;;1050,0;ZU GLEIS 1;;;;;zu Gleis 1;;10956060;;8,6026107;49,4739915;;
;;;Bahnsteig 02;10501048;PA_Bstg.2_Schindler_10956061;68526;Ladenburg;BAHNSTEIG 2; ;2017;Personenaufzüge;SEIL;2,0;2,0;2,0;;4,434;;1000,0;ZU GLEIS 2;;;;;ZU GLEIS 2;;10956061;;8,6030889;49,4745688;;
;03494;Lahr (Schwarzw);Lahr, Bahnsteig 1 (Gleis 2/Gleis 6);10529714;Lahr Aufzug Bstg Gl 2;77933;Lahr;;Schindler;2017;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;3,18;;1050,0;;;;;;;;;;7,835502;48,340994;;
;;;Lahr, Bahnsteig 2 (Gleis 1/3);10529715;Lahr Aufzug Bstg Gl 1+3;77933;Lahr;GLEIS 1/3;Schindler;2017;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;3,18;;1050,0;;;;;;;;;;7,835671;48,340917;;
;03527;Langenau (Württ);Bahnsteig 01;10276377;PAufzug_HA0020_Bstg.1;89129;Langenau (Württ);BAHNSTEIG 1;Kone GmbH;2004;Personenaufzüge;SEIL;2,0;1,0;2,0;1,0;;BAHNSTEIG 1;1000,0;;;;;;zu Gleis 1;;;;10,1256896;48,4931886;;
;;;Bahnsteig 02;10276376;PAufzug_HA0021_Bstg.2;89129;Langenau (Württ);BAHNSTEIG 2;Kone;2005;Personenaufzüge;SEIL;2,0;2,0;1,0;1,0;;BAHNSTEIG 2;1000,0;;;;;;zu Gleis 2;;;;10,1258302;48,4930878;;
;03576;Lauda;Bahnsteig A 1/2;10501495;PAufzug_Schindler_Bstg. A, Gleis 1/2;97922;Lauda-Königshofen;BAHNSTEIG 1/2;Schindler GmbH;2015;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,29;AUßEN;1050,0;;;;;;zu Gleis 1/2;;10802062;;9,70898;49,566;;
;;;Bahnsteig B 3/4;10501496;PAufzug_Schindler_Bstg. B, Gleis 3/4;97922;Lauda-Königshofen;BAHNSTEIG 3/4;Schindler GmbH;2015;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,29;AUßEN;1050,0;BAHNSTEIG 3/4;;;;;zu Gleis 3/4;;10802063;;9,7091601;49,5660284;;
;;;Zugangsbereich;10501494;PAufzug_Schindler_Zugang West;97922;Lauda-Königshofen;IM ZUGANGSBEREICH - ZUR PU;Schindler GmbH;2000;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,29;AUßEN;1050,0;ZUGANG ZUR UNTERFÜHRUNG;;;;;von EG zu Tunnel;;10802064;;9,70888;49,5659;;
;03578;Laudenbach (Bergstr);Bahnsteig 01;10501059;PA_Bstg.1_Schindler_10996242;69514;Laudenbach (Bergstr);BAHNSTEIG 1; ;2017;Personenaufzüge;SEIL;2,0;2,0;2,0;;4,195;;1050,0;ZU GLEIS 1;;;;;zu Gleis 1;;10996242;;8,6445198;49,6121836;;
;;;Bahnsteig 02;10501060;PA_Bstg.2_Schindler_10996243;69514;Laudenbach (Bergstr);BAHNSTEIG 2; ;2017;Personenaufzüge;SEIL;2,0;2,0;2,0;;4,005;;1050,0;ZU GLEIS 2;;;;;ZU GLEIS 2;;10996243;;8,6445198;49,6121836;;
;03593;Laupheim West;Bahnsteig 01;10466018;PAufzug_Laupheim_Bstg.1;88471;Laupheim;ANLAGENNUMMER 287411034; ;2012;Personenaufzüge;SEIL;2,0;2,0;2,0;;;;;;;;;;zu Gleis 1;;;;9,8479805;48,2302884;;
;;;Bahnsteig 02;10466017;PAufzug_Laupheim_Bstg.2;88471;Laupheim;ANLAGENNUMMER 287411035;Thyssen Krupp;2012;Personenaufzüge;SEIL;2,0;2,0;2,0;;;;;;;;;;zu Gleis 2/3;;;;9,8477427;48,2302432;;
;03626;Leinfelden;Unterführung;10038110;PAufzug_HA0194_Bstg.1;70771;Leinfelden;BSTG. 1, RI. FILDERSTADT;OTIS GmbH & Co. OHG;2000;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;5,08;NEBEN;675,0;;;;;;zu Gleis 1;;47KAG378;;9,1424289;48,6973439;;
;03667;Leonberg;Unterführung;10529555;PAufzug_HA0311_Bstg.2;71229;Leonberg;UNTERFÜHRUNG - BSTG. GL. 2/3;Schindler;2000;Personenaufzüge;SEIL;2,0;2,0;;1,0;4,24;;675,0;;;;;;zu Gleis 1;;10865984;;9,0036278;48,7994846;;
;;;;10529556;PAufzug_HA0310_Bstg.1;71229;Leonberg;UNTERFÜHRUNG - BSTG. GL. 1;Schindler GmbH;2000;Personenaufzüge;HYDRAULISCH;2,0;2,0;;1,0;4,22;;675,0;;;;;;zu Gleis 2/3;;10865983;;9,0035218;48,7995987;;
;03689;Leutkirch;Bahnsteig 1;10508083;Leutkirch Aufzug Bstg 1;88299;Leutkirch;BAHNSTEIG 1;Schindler;2017;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,82;;1050,0;;;;;;Gleis 1;;11010755;;10,01611;47,82622;;
;;;Bahnsteig 2;10508084;Leutkirch Aufzug Bstg 2;88299;Leutkirch;BAHNSTEIG 2 GLEIS 3;Schindler;2017;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,67;;1050,0;;;;;;Gleis 3;;11010757;;10,01589;47,82636;;
;03783;Lörrach Hbf;Bahnsteig 01;10302090;PAufzug_Lörrach Hbf_Bstg. 1;79539;Lörrach;BAHNSTEIG 1;Schindler GmbH;2005;Personenaufzüge;SEIL;2,0;;2,0;1,0;4,01;;1050,0;;;;;;zu Gleis 1;;;;7,6654208;47,6143341;;
;;;Bahnsteig 02;10192223;PAufzug_Lörrach Hbf_Bstg. 2;79539;Lörrach;BAHNSTEIG 2;Schindler GmbH;2005;Personenaufzüge;SEIL;2,0;;2,0;;4,01;;1050,0;;;;;;zu Gleis 2/3;;;;7,6656525;47,6142586;;
;03833;Ludwigsburg;Bahnsteig 01;10505356;PAufzug_HA0372_Bstg.1, EG;71638;Ludwigsburg;BAHNSTEIG 1, EMPFANGSGEBÄUDE;Schindler GmbH;2015;Personenaufzüge;SEIL;4,0;1,0;4,0;0,63;5,44;;750,0;;;;;;zu Gleis 1;;10802073;;9,1853279;48,8924643;;
;;;Bahnsteig 02;10505355;PAufzug_HA0373_Bstg.2, Gl.2/3;71638;Ludwigsburg;BAHNSTEIG 2;Schindler GmbH;2015;Personenaufzüge;SEIL;2,0;2,0;;1,0;4,325;;675,0;;;;;2100,0;zu Gleis 2/3;2000,0;10785776;;9,1850897;48,8923969;;
;;;Bahnsteig 03;10505354;PAufzug_HA0374_Bstg.3, Gl.4/5;71638;Ludwigsburg;BAHNSTEIG 3;Schindler GmbH;2015;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,303;;675,0;;;;;2100,0;zu Gleis 4/5;2000,0;10785777;;9,1848778;48,8923352;;
;03925;Mannheim Hbf;-1.A.12 Treppenhaus 1;10220342;PAufzug_P1_Treppenhaus 1;68161;Mannheim;TREPPENHAUS 1 FLÜGEL OST;ThyssenKrupp Aufzüge GmbH;2000;Personenaufzüge;SEIL;4,0;1,0;4,0;1,0;13,15;INNEN;1000,0;TREPPENHAUS 1;;;;2300,0;im TH 1 zu Glasspange (PA 1);;232329141;;8,47073;49,4793;;
;;;-1.A.35 Treppenhaus 6;10235395;PAufzug_PA6_Treppenhaus 6;68161;Mannheim;;Thyssen Krupp;2001;Personenaufzüge;SEIL;5,0;1,0;5,0;1,0;16,699999999999999;INNEN;630,0;TREPPENHAUS 6;;;;2300,0;im TH 6 zu DB Casino (PA 6);;23 23 29 140;;8,47009;49,47969;;
;;;-1.A.37 Treppenhaus 4;10235398;PAufzug_PA4_Treppenhaus 4;68161;Mannheim;IM TREPPENHAUS 4;Thyssen Krupp;2001;Personenaufzüge;SEIL;4,0;1,0;4,0;1,0;13,15;INNEN;1000,0;TREPPENHAUS 4;;;;2300,0;im TH 4 zu BuPol (PA 4);;23 23 29 142;;8,46901;49,48008;;
;;;-1.A.51 Treppenhaus 5;10235399;PAufzug_PA5_Treppenhaus 5;68161;Mannheim;TREPPENHAUS 5;Thyssen Krupp;2001;Personenaufzüge;SEIL;5,0;1,0;4,0;1,0;16,699999999999999;INNEN;630,0;TREPPENHAUS 5;;;;2300,0;im TH 5 zu DB Training (PA 5);;23 23 29 139;;8,4698;49,47983;;
;;;Bahnsteig B 2/3;10547808;PAufzug_Schindler 10 90 58 82_Bstg. 2/3;68161;Mannheim;WESTLICHE UNTERFÜHRUNG;Schindler;2016;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,259;AUSSEN;1000,0;WESTLICHE UNTERFÜHRUNG;900,0;;;2100,0;zu Gleis 2/3 Abschnitt A;2000,0;10 90 58 82;;8,4687787;49,4797554;;
;;;Bahnsteig C 4/5;10547807;PAufzug_Schindler 10 90 58 84_Bstg. 4/5;68161;Mannheim;WESTLICHE UNTERFÜHRUNG;Schindler;2016;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,242;AUSSEN;1000,0;WESTLICHE UNTERFÜHRUNG;900,0;;;2100,0;zu Gleis 4/5 Abschnitt A;2000,0;10905884;;8,4686182;49,4796259;;
;;;Bahnsteig D 7/8;10554988;PAufzug_Schindler 23 23 29 683;68161;Mannheim;BAHNSTEIG 7/8;Schindler;2016;Personenaufzüge;SEIL;2,0;1,0;;;;;;;;;;;zu Gleis 7/8 Abschnitt A;;10905885;;8,4684165;49,479466;;
;;;Bahnsteig E 9/10;10554989;PAufzug_Schindler 23 23 29 681_Bstg. 9/1;68161;Mannheim;BAHNSTEIG 9/10;Schindler;2016;Personenaufzüge;SEIL;2,0;1,0;2,0;;;AUßEN;1050,0;;;;;;zu Gleis 9/10 Abschnitt A;;10905886;;8,4682799;49,479356;;
;;;Bahnsteig F 11/12;10501451;PA_Bstg.11/12_Schindler_10964826;68161;Mannheim;BAHNSTEIG F;Schindler;2017;Personenaufzüge;SEIL;2,0;2,0;;;4,66;;1000,0;;;;;;zu Gleis 11/12 Abschnitt A;;;;8,4682094;49,4791894;;
;;;Untergeschoss;10235394;PAufzug_PA2_Mall Ost;68161;Mannheim;OSTHALLE DB LOUNGE;Thyssen Krupp;2001;Personenaufzüge;SEIL;3,0;;;1,0;8,9;;630,0;OSTHALLE DB LOUNGE;;;;2300,0;zu DB Lounge (PA 2);;23 23 29 137;;8,469796;49,4795499;;
;;;;10235397;PAufzug_PA3_Mall West;68161;Mannheim;PERSONENAUFZUG PA 3;Thyssen Krupp;2001;Personenaufzüge;SEIL;3,0;;;1,0;8,9;;630,0;;;;;2300,0;im TH 3 zu DB Regio (PA 3);;23 23 29 138;;8,4696472;49,4796232;;
;03927;Neu-Edingen/Friedrichsfeld;Bahnsteig A 1;10501044;PAufzug_Schindler 10 78 57 82 Bstg 1;68229;Mannheim;BAHNSTEIG 1;Schindler;2015;Personenaufzüge;SEIL;2,0;1,0;2,0;1,0;4,05;AUßEN;1050,0;BAHNSTEIG 1;;;;;zu Gleis 1;2100,0;10785782;;8,58042;49,44849;;
;;;Bahnsteig B 2/3;10501045;PA_Schindler 10 78 57 83 Bstg 2/3;68229;Mannheim;BAHNSTEIG 2/3;Schindler;2015;Personenaufzüge;SEIL;2,0;;2,0;1,0;4,136;AUßEN;1050,0;BAHNSTEIG 2/3;;;;;zu Gleis 2/3;;;;8,58023;49,44855;;
;;;Bahnsteig C 4/5;10501046;PA_Schindler 10 78 57 84 Bstg 4/5;68229;Mannheim;BAHNSTEIG 4/5;Schindler;2015;Personenaufzüge;SEIL;2,0;1,0;2,0;1,0;4,136;AUßEN;1050,0;BAHNSTEIG 4/5;;;;;zu Gleis 4/5;;;;8,58005;49,44861;;
;03928;Mannheim-Friedrichsfeld Süd;Bahnsteig A 1;10259672;PAufzug_Thyssen 23 13 22 090_Bstg.1;68229;Mannheim;BAHNSTEIG 1;Thyssen Krupp;2003;Personenaufzüge;SEIL;2,0;;;;;;;;;;;;zu Gleis 1;;;;8,5721101;49,4383263;;
